dataset,qid,query,class,best_model,utility_bm25,utility_l6,utility_bge,eff_bm25,eff_l6,eff_bge,lat_bm25,lat_l6,lat_bge
scifact-train,0,0-dimensional biomaterials lack inductive properties.,0,bm25,0.04993251152844013,0.04209674971132203,0.0,0.0,0.0,0.0,0.0008380061481148005,0.09813486924394965,0.6208513311576098
scifact-train,2,1 in 5 million in UK have abnormal PrP positivity.,0,bm25,0.9997223943967382,0.9899128887644809,0.95,1.0,1.0,1.0,0.0016262899152934551,0.05909306975081563,0.29291374096646905
scifact-train,4,1-1% of colorectal cancer patients are diagnosed with regional or distant metastases.,2,bge,0.04969264805409658,0.03971022637468902,0.27875508343640726,0.0,0.0,0.2934264036172708,0.001777673838660121,0.05951438285410404,0.2891918958630413
scifact-train,6,10% of sudden infant death syndrome (SIDS) deaths happen in newborns aged less than 6 months.,1,l6,0.586907294322813,0.9896051483682256,0.95,0.5654648767857288,1.0,1.0,0.00166133395396173,0.060735048027709126,0.2921400428749621
scifact-train,9,32% of liver transplantation programs required patients to discontinue methadone treatment in 2001.,0,bm25,0.9996532237410739,0.989725131100897,0.95,1.0,1.0,1.0,0.002018437022343278,0.05980563908815384,0.2910287210252136
scifact-train,10,4-PBA treatment decreases endoplasmic reticulum stress in response to general endoplasmic reticulum stress markers.,1,l6,0.3284011744312443,0.4354151503148375,0.3233213650848617,0.2934264036172708,0.41666666666666663,0.34033827903669656,0.0020285530481487513,0.05971545400097966,0.2865924600046128
scifact-train,11,4-PBA treatment raises endoplasmic reticulum stress in response to general endoplasmic reticulum stress markers.,1,l6,0.3284496753863644,0.36349637410117797,0.2483650805429772,0.2934264036172708,0.34033827903669656,0.26143692688734443,0.0017417070921510458,0.05603079707361758,0.2851442671380937
scifact-train,12,40mg/day dosage of folic acid and 2mg/day dosage of vitamin B12 does not affect chronic kidney disease (CKD) progression.,0,bm25,0.999707064792825,0.9899650283928314,0.95,1.0,1.0,1.0,0.0016686890739947557,0.05716365622356534,0.2848222120665014
scifact-train,14,5'-nucleotidase metabolizes 6MP.,0,bm25,0.04994446783003057,0.04043235097081642,0.0,0.0,0.0,0.0,0.0003131141420453787,0.053946500178426504,0.2819213999900967
scifact-train,15,50% of patients exposed to radiation have activated markers of mesenchymal stem cells.,0,bm25,0.04944377429299565,0.03988551000104655,0.0,0.0,0.0,0.0,0.003197707002982497,0.05814757407642901,0.2874468909576535
