dataset,qid,query,class,best_model,utility_bm25,utility_l6,utility_bge,eff_bm25,eff_l6,eff_bge,lat_bm25,lat_l6,lat_bge
Treccovid,1,what is the origin of COVID-19,1,l6,0.6041779261682643,0.7807123511028511,0.735237774839408,0.583624892367962,0.7721207553908362,0.7739344998309559,0.006242768839001656,0.06583780772052705,1.1746823138091713
Treccovid,2,how does the coronavirus respond to changes in the weather,2,bge,0.2075753698212662,0.6169506814932243,0.95,0.17463653754611594,0.6138213605247349,1.0,0.05486753094010055,0.10657929885201156,0.3293629828840494
Treccovid,3,will SARS-CoV2 infected people develop immunity? Is cross protection possible?,1,l6,0.7468699157691865,0.9040165798114869,0.9010514591335073,0.7479985356399176,0.920805497198104,0.948475220140534,0.10327823297120631,0.15608791913837194,0.3761400750372559
Treccovid,4,what causes death from Covid-19?,1,l6,0.34839772634960353,0.6830097918286616,0.67793533902197,0.31943122193677725,0.6808668854518186,0.7136161463389158,0.030921282013878226,0.08438253006897867,0.3054294961038977
Treccovid,5,what drugs have been active against SARS-CoV or SARS-CoV-2 in animal studies?,1,l6,0.14046674307960602,0.7435197883057754,0.6759629181108238,0.10700317619627117,0.7496998008120794,0.7115399138008671,0.07888833293691278,0.1318418551236391,0.35261218692176044
Treccovid,6,what types of rapid testing for Covid-19 have been developed?,1,l6,0.35760481788461496,0.9173551272257927,0.6079564110084119,0.3336043009934804,0.9305687780632228,0.6399541168509599,0.062323558144271374,0.11158406105823815,0.3343801130540669
Treccovid,7,are there serological tests that detect antibodies to coronavirus?,0,bm25,0.9532790898369004,0.9001294224390031,0.897728205504206,0.9608008655106623,0.9118499466982855,0.94497705842548,0.06336087896488607,0.1077741829212755,0.3341207930352539
Treccovid,8,how has lack of testing availability led to underreporting of true incidence of Covid-19?,0,bm25,0.7982710434174071,0.7090906801799292,0.787751267170282,0.7951395800159324,0.7098845509939729,0.8292118601792442,0.04490489698946476,0.0966073740273714,0.3157177339307964
Treccovid,9,how has COVID-19 affected Canada,1,l6,0.16084782332104344,0.19602708539742586,0.14705893521216865,0.11901395239497362,0.16518579971933822,0.15479887917070384,0.01234453497454524,0.06073233485221863,0.27860340592451394
Treccovid,10,has social distancing had an impact on slowing the spread of COVID-19?,0,bm25,0.9317933764334665,0.8923980908027839,0.9066215084055347,0.9336882675750944,0.9008768387951549,0.9543384299005628,0.031742468010634184,0.08184605999849737,0.3046022788621485
Treccovid,11,what are the guidelines for triaging patients infected with coronavirus?,2,bge,0.8023405828424621,0.3574259367124574,0.8518491135748262,0.8065324773310216,0.34564211016166796,0.8966832774471855,0.10339336097240448,0.15610540192574263,0.3728501368314028
Treccovid,12,what are best practices in hospitals and at home in maintaining quarantine?,0,bm25,0.5975514532789196,0.1375484464271307,0.24207588396996216,0.5824399425938002,0.10627013267699248,0.25481671996838123,0.03523208317346871,0.08192122424952686,0.30548973311670125
Treccovid,13,what are the transmission routes of coronavirus?,1,l6,0.8211116209632757,0.9110232105075747,0.8817436182596661,0.8186144400008191,0.9218333177798875,0.928151177115438,0.04065390303730965,0.0910458390135318,0.30929171317256987
Treccovid,14,what evidence is there related to COVID-19 super spreaders,2,bge,0.8566398221280068,0.9006684162810468,0.9298534170703321,0.854291205689591,0.9092760856511963,0.9787930706003496,0.029483414953574538,0.07849704287946224,0.2986071538180113
Treccovid,15,how long can the coronavirus live outside the body,0,bm25,0.6872880441501867,0.40572346671360415,0.6380490556937147,0.6781352028866727,0.39025222423955575,0.6716305849407523,0.0437913341447711,0.09474629908800125,0.31548140617087483
Treccovid,16,how long does coronavirus remain stable  on surfaces?,2,bge,0.7223154329902308,0.8058516519751251,0.8299080567262582,0.7152994169477966,0.8116442814624195,0.8735874281329035,0.04604234988801181,0.09701094287447631,0.3188964279834181
Treccovid,17,are there any clinical trials available for the coronavirus,1,l6,0.9282260273724628,0.9322217935702486,0.8067003813217923,0.9352767668162886,0.9471969491438326,0.8491582961282025,0.07039459212683141,0.12054382730275393,0.3421564542222768
Treccovid,18,what are the best masks for preventing infection by Covid-19?,1,l6,0.753613256364699,0.9263508464397814,0.8511844588797693,0.7497686076415311,0.9400228393296094,0.8959836409260731,0.05699676903896034,0.10963347321376204,0.3288178681395948
Treccovid,19,what type of hand sanitizer is needed to destroy Covid-19?,0,bm25,0.8391481498075309,0.35448151210746304,0.7931046872177759,0.835846467589094,0.33426540506151614,0.8348470391766063,0.029551947955042124,0.07873273594304919,0.3011820390820503
Treccovid,20,are patients taking Angiotensin-converting enzyme inhibitors (ACE) at increased risk for COVID-19?,1,l6,0.9265176991356164,0.9507019160461505,0.8883093694646631,0.9350624941733297,0.9681896059005242,0.9350624941733297,0.08380149910226464,0.13558575813658535,0.35534193529747427
Treccovid,21,what are the mortality rates overall and in specific populations,2,bge,0.40959900200429183,0.887277212788992,0.8952973351943679,0.3872739446323604,0.8986895771342951,0.942418247573019,0.05464505380950868,0.10833935183472931,0.32874166988767684
Treccovid,22,are cardiac complications likely in patients with COVID-19?,1,l6,0.8821205906324228,0.9317024473281,0.9019419728252889,0.8851021949626573,0.9454862044599013,0.9494126029739883,0.0576093140989542,0.1089896869380027,0.3300827930215746
Treccovid,23,what kinds of complications related to COVID-19 are associated with hypertension?,2,bge,0.5206395461084627,0.5982578097682454,0.8960396654861409,0.5031604819662917,0.5936666355597751,0.9431996478801483,0.047648012870922685,0.10176524799317122,0.323567729908973
Treccovid,24,what kinds of complications related to COVID-19 are associated with diabetes,2,bge,0.5682055355266901,0.615325508124432,0.95,0.5533608001768469,0.6115730776370862,1.0,0.04865759797394276,0.10182835883460939,0.3249374788720161
Treccovid,25,which biomarkers predict the severe clinical course of 2019-nCOV infection?,1,l6,0.7954112320305677,0.9182223836535618,0.8830407449471054,0.7982688592886614,0.9349369997364463,0.929516573628532,0.09584658103995025,0.14785343501716852,0.37023028591647744
Treccovid,26,what are the initial symptoms of Covid-19?,1,l6,0.8376064369588027,0.9573881110296592,0.95,0.8326453704140342,0.9681896059005242,1.0,0.019922224106267095,0.0724686742760241,0.29240069817751646
Treccovid,27,what is known about those infected with Covid-19 but are asymptomatic?,0,bm25,0.9001835820297798,0.8798993619035526,0.8895289135703319,0.9030944000523444,0.8902371963233706,0.9363462248108757,0.050089967204257846,0.10220636031590402,0.32290700217708945
Treccovid,28,what evidence is there for the value of hydroxychloroquine in treating Covid-19?,2,bge,0.8963949563787741,0.8834745418987824,0.95,0.8957378652471086,0.8913696435738852,1.0,0.027249584905803204,0.07970667374320328,0.2990506098140031
Treccovid,29,which SARS-CoV-2 proteins-human proteins interactions indicate potential for drug targets. Are there approved drugs that can be repurposed based on this information?,1,l6,0.679651586204251,0.8771307443391165,0.8231254056409614,0.6755342123340767,0.8909917927337878,0.8664477954115384,0.0880443979986012,0.1404491679277271,0.36364204715937376
Treccovid,30,is remdesivir an effective treatment for COVID-19,1,l6,0.9225758258142053,0.9844291510086312,0.95,0.9262688623283959,1.0,1.0,0.04743528692051768,0.10008785710670054,0.32139498996548355
Treccovid,31,How does the coronavirus differ from seasonal flu?,1,l6,0.10513405114750998,0.6843366042721399,0.6415603119595185,0.06659792613128707,0.684507053669247,0.6753266441679142,0.053399210795760155,0.10467885574325919,0.3282477918546647
Treccovid,32,"Does SARS-CoV-2 have any subtypes, and if so what are they?",1,l6,0.12750699644542668,0.7373674044518466,0.6977750443273205,0.08181039409947585,0.7345000466603374,0.7345000466603374,0.0011870739981532097,0.05803625378757715,0.278815631987527
Treccovid,33,What vaccine candidates are being tested for Covid-19?,1,l6,0.647232338921137,0.8644626809535614,0.8545625731933659,0.6338450738217296,0.871469983157692,0.8995395507298589,0.02981601608917117,0.08140311297029257,0.3029786602128297
Treccovid,34,What are the longer-term complications of those who recover from COVID-19?,1,l6,0.04796630630007326,0.10234460436684467,0.0,0.0,0.06659792613128707,0.0,0.011634032940492034,0.06248900294303894,0.2860320839099586
Treccovid,35,What new public datasets are available related to COVID-19?,1,l6,0.7158158038715956,0.920811431405914,0.7382180252070906,0.7096989999440991,0.9334739949321356,0.777071605481148,0.05561954015865922,0.10589035414159298,0.33113783318549395
Treccovid,36,What is the protein structure of the SARS-CoV-2 spike?,2,bge,0.8663144850706325,0.9129477063766454,0.95,0.8636649221552609,0.9219021246093393,1.0,0.024986729957163334,0.07710521505214274,0.29980303393676877
Treccovid,37,What is the result of phylogenetic analysis of SARS-CoV-2 genome sequence?,1,l6,0.13091051656845942,0.8299206811839192,0.8126280112540225,0.09639971149644588,0.8399916817626039,0.8553979065831816,0.0745055431034416,0.12619685824029148,0.3491615012753755
Treccovid,38,What is the mechanism of inflammatory response and pathogenesis of COVID-19 cases?,2,bge,0.391387872382098,0.8925624671878837,0.8977935719921852,0.3713030242469181,0.9065176868304683,0.9450458652549318,0.08009201101958752,0.13145910506136715,0.3528282220941037
Treccovid,39,What is the mechanism of cytokine storm syndrome on the COVID-19?,1,l6,0.9000359268809806,0.9613492584475416,0.8998371016866409,0.9005033215744149,0.973867243673775,0.9471969491438326,0.03338810498826206,0.08481414476409554,0.306750298012048
Treccovid,40,What are the observed mutations in the SARS-CoV-2 genome and how often do the mutations occur?,1,l6,0.7979588209187773,0.9848608285329665,0.95,0.7942337002184837,1.0,1.0,0.0419442281126976,0.09675180003978312,0.31954126502387226
Treccovid,41,What are the impacts of COVID-19 among African-Americans that differ from the rest of the U.S. population?,1,l6,0.04058156028894192,0.5427987246644123,0.509847862997196,0.0,0.53668196104968,0.53668196104968,0.06382055603899062,0.11552714905701578,0.3388064159080386
Treccovid,42,Does Vitamin D impact COVID-19 prevention and treatment?,2,bge,0.6694757756466344,0.8573456075977371,0.9267680913352028,0.6597748137824604,0.8666589172302493,0.9755453593002135,0.04798513790592551,0.1048958629835397,0.3282023628707975
Treccovid,43,"How has the COVID-19 pandemic impacted violence in society, including violent crimes?",1,l6,0.8566579433137683,0.9038620878747958,0.8435520419508035,0.8592385420848926,0.9159238567655446,0.8879495178429511,0.06599016697145998,0.11159213213250041,0.3430316017474979
Treccovid,44,How much impact do masks have on preventing the spread of the COVID-19?,1,l6,0.9039228101964136,0.9855955349113034,0.9197801256054979,0.9053748885246191,1.0,0.9681896059005242,0.03883822192437947,0.09047607984393835,0.31405567401088774
Treccovid,45,How has the COVID-19 pandemic impacted mental health?,0,bm25,0.9050709655816542,0.5782925245135261,0.7812494273533157,0.9091099481035074,0.5724597061601245,0.8223678182666482,0.05557703506201506,0.100646804086864,0.32374399388208985
Treccovid,46,what evidence is there for dexamethasone as a treatment for COVID-19?,2,bge,0.275431775558499,0.8843518302524411,0.95,0.24238686274777202,0.8924909353525192,1.0,0.029778874944895506,0.08322366490028799,0.3079037540592253
Treccovid,47,what are the health outcomes for children who contract COVID-19?,2,bge,0.29869626145459854,0.6465606688743172,0.7179558254168876,0.2690837904259621,0.6439018449297279,0.7557429741230397,0.04458464891649783,0.09739647596143186,0.3215236268006265
Treccovid,48,what are the benefits and risks of re-opening schools in the midst of the COVID-19 pandemic?,1,l6,0.35299682430707535,0.9271734177332067,0.8967517759515116,0.3268461781505383,0.9388633982505333,0.9439492378436964,0.04758116602897644,0.09346826211549342,0.3169100920204073
Treccovid,49,"do individuals who recover from COVID-19 show sufficient immune response, including antibody levels and T-cell mediated immunity, to prevent re-infection?",1,l6,0.31997932426435266,0.7953889092911856,0.7337604784598225,0.29990545222884935,0.807453870938698,0.7723794510103396,0.11780083691701293,0.1711467478889972,0.39448790485039353
Treccovid,50,what is known about an mRNA vaccine for the SARS-CoV-2 virus?,2,bge,0.24856400814345203,0.796656508810066,0.7987445439769384,0.21681804129098253,0.8022030198193333,0.8407837305020405,0.04790104809217155,0.09974433411844075,0.32308243005536497
